epoch,binary_crossentropy,dice_coef,loss,precision,recall,val_binary_crossentropy,val_dice_coef,val_loss,val_precision,val_recall
0,0.48069978611809866,0.4232471542698996,-0.4232471542698996,0.47860394205365864,0.7414196218763079,0.749507486820221,0.3838450014591217,-0.3838450014591217,0.31540217995643616,0.9333308339118958
1,0.445610625403268,0.519167252949306,-0.5191672444343567,0.4915874344961984,0.9196387529373169,1.239863395690918,0.42594826221466064,-0.42594823241233826,0.3188696503639221,0.9381489753723145
2,0.4771158496538798,0.570781817038854,-0.5707818369070689,0.502832422653834,0.9027106960614523,1.7854259014129639,0.4408136010169983,-0.4408136010169983,0.3217712938785553,0.9374019503593445
3,0.5003930074828011,0.622799847807203,-0.622799847807203,0.5245891809463501,0.905869858605521,2.2094454765319824,0.451068252325058,-0.451068252325058,0.32502105832099915,0.936374843120575
4,0.5641191857201713,0.6336237107004438,-0.6336237107004438,0.5134390550000327,0.9061648505074638,2.499718427658081,0.4508521258831024,-0.45085209608078003,0.32731372117996216,0.9301374554634094
5,0.6156819065411886,0.648631085952123,-0.648631085952123,0.5302584966023763,0.874469111363093,2.6444804668426514,0.44814226031303406,-0.44814223051071167,0.33101826906204224,0.9283446669578552
6,0.629568270274571,0.6673810396875653,-0.667381056717464,0.5591177003724235,0.859325076852526,2.659605026245117,0.45534971356391907,-0.45534974336624146,0.3366174101829529,0.9232650995254517
7,0.6188267384256635,0.6830667683056423,-0.6830667683056423,0.5837483065468925,0.848194284098489,2.58109712600708,0.46104589104652405,-0.46104589104652405,0.3415345549583435,0.9184656739234924
8,0.6393654843171438,0.6840337713559469,-0.6840337912241617,0.57737468679746,0.8629995286464691,2.422642946243286,0.4705348610877991,-0.4705348610877991,0.3482317626476288,0.9137409329414368
9,0.6290661011423383,0.6944678170340401,-0.6944678510938372,0.5999462604522705,0.8429517149925232,2.2203757762908936,0.47918546199798584,-0.4791854918003082,0.35575366020202637,0.9069433212280273
10,0.5378162775720868,0.7185283984456744,-0.7185284154755729,0.6327048795563834,0.8526191285678318,2.0150272846221924,0.4909665584564209,-0.4909665584564209,0.3648409843444824,0.9018824100494385
11,0.5292779902617136,0.7161034941673279,-0.7161035140355428,0.6450894872347513,0.831747422615687,1.7984368801116943,0.5065334439277649,-0.5065334439277649,0.37613341212272644,0.8916485905647278
12,0.507885971239635,0.7044381243841988,-0.7044381073543003,0.6190428308078221,0.8483406049864632,1.8317302465438843,0.5142462253570557,-0.5142462253570557,0.37922725081443787,0.8906401991844177
13,0.5391327653612409,0.7342507754053388,-0.7342507583754403,0.6718804155077253,0.8257606370108468,1.9974257946014404,0.5209589004516602,-0.5209589004516602,0.379454106092453,0.890733540058136
14,0.5528616607189178,0.7372592190901438,-0.7372592190901438,0.6576716502507528,0.8528774976730347,1.9059587717056274,0.5313583016395569,-0.5313583016395569,0.38711604475975037,0.8835250735282898
